Google Click ID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
EAIaIQobChMIh_yvoJzNggMVQAWiAx1U8wxnEAAYASAAEgKzmvD_BwE,CRM_Purchase,2023-11-18 15:21:55 +06 Asia/Almaty,0,KZT
EAIaIQobChMIgInp17nNggMVdguiAx3MvwDTEAAYASAAEgKS-fD_BwE,CRM_Purchase,2023-11-18 17:33:29 +06 Asia/Almaty,0,KZT
EAIaIQobChMIlKSCjMfOggMVIACiAx3Y2ghQEAAYASAAEgJ3mvD_BwE,CRM_Purchase,2023-11-19 04:05:32 +06 Asia/Almaty,0,KZT
EAIaIQobChMIlKSCjMfOggMVIACiAx3Y2ghQEAAYASAAEgJ3mvD_BwE,CRM_Purchase,2023-11-19 04:06:03 +06 Asia/Almaty,0,KZT
EAIaIQobChMI4dmLu6jPggMVTUCRBR0Kpw-qEAAYASAAEgJDpvD_BwE,CRM_Purchase,2023-11-19 11:21:37 +06 Asia/Almaty,0,KZT
Cj0KCQiA3uGqBhDdARIsAFeJ5r19qUWzi8nal_A3H9aeFtM_kJzLnzffB0atG9_R3SQm25gLfS9cOWkaAurzEALw_wcB,CRM_Purchase,2023-11-19 12:18:03 +06 Asia/Almaty,0,KZT
EAIaIQobChMIz4bGmtTPggMVsxiiAx3AwALREAAYASAAEgJNL_D_BwE,CRM_Purchase,2023-11-19 14:37:00 +06 Asia/Almaty,0,KZT
EAIaIQobChMIz4bGmtTPggMVsxiiAx3AwALREAAYASAAEgJNL_D_BwE,CRM_Purchase,2023-11-19 14:37:03 +06 Asia/Almaty,0,KZT
EAIaIQobChMIz4bGmtTPggMVsxiiAx3AwALREAAYASAAEgJNL_D_BwE,CRM_Purchase,2023-11-19 14:37:16 +06 Asia/Almaty,0,KZT
EAIaIQobChMIy67jgPzPggMVbhmiAx1J8gN8EAAYASAAEgKKEvD_BwE,CRM_Purchase,2023-11-19 17:34:57 +06 Asia/Almaty,0,KZT
CjwKCAiAgeeqBhBAEiwAoDDhn-3d1c7pMNARq2mz_pb0p94ttdZCyzxveKoIpg-k_7UA2xH5Yb47rxoCQisQAvD_BwE,CRM_Purchase,2023-11-20 12:44:15 +06 Asia/Almaty,0,KZT
EAIaIQobChMIndHWzv3RggMVaVGRBR0YOgEREAAYASAAEgLXIfD_BwE,CRM_Purchase,2023-11-20 12:47:20 +06 Asia/Almaty,0,KZT
EAIaIQobChMI4PTPjO3SggMVbRiiAx0oXQsxEAAYASAAEgIAJfD_BwE,CRM_Purchase,2023-11-20 21:07:12 +06 Asia/Almaty,0,KZT
EAIaIQobChMItK29vsrTggMVXxaiAx1p2AAKEAAYASAAEgI_m_D_BwE,CRM_Purchase,2023-11-21 04:04:14 +06 Asia/Almaty,0,KZT
EAIaIQobChMI3pPEstLUggMVKGGRBR3qfQ7jEAAYASAAEgLqsfD_BwE,CRM_Purchase,2023-11-21 14:12:00 +06 Asia/Almaty,0,KZT
EAIaIQobChMIjraov9nUggMVAg-iAx2WOQGfEAAYASAAEgJRhfD_BwE,CRM_Purchase,2023-11-21 14:44:02 +06 Asia/Almaty,0,KZT
CjwKCAiAx_GqBhBQEiwAlDNAZic1smdaS4dLWLCqr1QhhaPo8HTD_RE6nCnUjl1tbrdQT9azVCBl-xoCQc4QAvD_BwE,CRM_Purchase,2023-11-21 15:41:36 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-21 17:03:59 +06 Asia/Almaty,0,KZT
EAIaIQobChMI8OD17ozVggMVU_53Ch2rLQJaEAAYASAAEgKkmPD_BwE,CRM_Purchase,2023-11-21 18:34:06 +06 Asia/Almaty,0,KZT
EAIaIQobChMIsrqRyI7VggMViex3Ch15MQNZEAAYASAAEgInPvD_BwE,CRM_Purchase,2023-11-21 18:41:35 +06 Asia/Almaty,0,KZT
EAIaIQobChMIjPKatZDVggMV8ZaDBx2XsA7dEAAYASAAEgIstvD_BwE,CRM_Purchase,2023-11-21 18:49:25 +06 Asia/Almaty,0,KZT
EAIaIQobChMI2M-rppPVggMVqQqiAx2CqAZOEAAYASAAEgKpN_D_BwE,CRM_Purchase,2023-11-21 19:02:26 +06 Asia/Almaty,0,KZT
EAIaIQobChMI5-XQqo_XggMVPwWiAx002gv4EAAYASAAEgJKF_D_BwE,CRM_Purchase,2023-11-22 13:49:51 +06 Asia/Almaty,0,KZT
EAIaIQobChMI5-XQqo_XggMVPwWiAx002gv4EAAYASAAEgJKF_D_BwE,CRM_Purchase,2023-11-22 13:50:26 +06 Asia/Almaty,0,KZT
Cj0KCQiA6vaqBhCbARIsACF9M6nS4YIYxSW4Hq9Bvke7XsomysyIwwDiB4rhY2SgVka8e_hU1tgcsMsaAkmnEALw_wcB,CRM_Purchase,2023-11-22 16:55:21 +06 Asia/Almaty,0,KZT
EAIaIQobChMI6vHv2b_XggMVTxeiAx0qqwYZEAAYAiAAEgJm4_D_BwE,CRM_Purchase,2023-11-22 17:28:04 +06 Asia/Almaty,0,KZT
Cj0KCQiA6vaqBhCbARIsACF9M6nWNyDS6P-Tm5rIZaqrT03wArpcN8HpZMws_AhjerZpMTTtjoUhleAaApwnEALw_wcB,CRM_Purchase,2023-11-22 17:45:46 +06 Asia/Almaty,0,KZT
EAIaIQobChMI7rin2_TXggMV6msPAh0C_QPoEAAYASAAEgJN_PD_BwE,CRM_Purchase,2023-11-22 21:23:52 +06 Asia/Almaty,0,KZT
EAIaIQobChMI7rin2_TXggMV6msPAh0C_QPoEAAYASAAEgJN_PD_BwE,CRM_Purchase,2023-11-22 21:24:03 +06 Asia/Almaty,0,KZT
EAIaIQobChMI4onyzrPZggMVKRaiAx3KDg7YEAAYAyAAEgL2NfD_BwE,CRM_Purchase,2023-11-23 11:57:54 +06 Asia/Almaty,0,KZT
EAIaIQobChMI4onyzrPZggMVKRaiAx3KDg7YEAAYAyAAEgL2NfD_BwE,CRM_Purchase,2023-11-23 11:58:06 +06 Asia/Almaty,0,KZT
EAIaIQobChMI4onyzrPZggMVKRaiAx3KDg7YEAAYAyAAEgL2NfD_BwE,CRM_Purchase,2023-11-23 11:59:29 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-23 17:14:34 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-23 17:14:47 +06 Asia/Almaty,0,KZT
